Modalità ;Informazioni cronologiche;1. Qual è la tua età?;2. Qual è il tuo genere?;3. Qual è il tuo livello di istruzione?;"4. Valuta su una scala da 1 a 10 quanto ritieni che la tua età influenzi l'interesse per esperienze museali, dove 1 significa ""per nulla"" e 10 ""moltissimo"".";5. Su una scala da 1 a 10, quanto pensi che il tuo percorso formativo o le tue conoscenze pregresse influenzino la tua comprensione delle esposizioni museali? ;"6. Quanto frequentemente visiti i musei o le mostre culturali in generale? Usa una scala da 1 a 10 per indicare la tua frequenza, dove 1 significa ""mai"" e 10 ""molto frequentemente"".";7. Quanto hai trovato interessante la visita guidata al museo tradizionale? Valuta su una scala da 1 a 10.;8. Ritieni che le spiegazioni fornite dalla guida siano state chiare e utili? Usa una scala da 1 a 10 per indicare il tuo grado di chiarezza percepita.;9. Durante la visita, hai percepito difficoltà nel mantenere l’attenzione? Su una scala da 1 a 10.;10. Quanto ritieni che l’esposizione degli oggetti storici sia stata efficace per trasmettere informazioni educative? Usa una scala da 1 a 10 per indicare la tua percezione.;11. Qual è stato il tuo livello di coinvolgimento emotivo durante la visita tradizionale? Valuta su una scala da 1 a 10.;12. Quali ulteriori funzionalità vorresti vedere in una futura versione del museo VR?;13. Quali aspetti della guida museale tradizionale al MuSEd hai trovato più utili per l’apprendimento?;14. Quanto riterresti utile l’uso della VR per spiegare l’evoluzione degli strumenti educativi rispetto all’esposizione fisica degli oggetti?;1. Quando è stato fondato il primo Museo d'Istruzione e di Educazione?;2. Chi fu il fondatore del primo Museo d'Istruzione e di Educazione?;3. Qual è il principale contributo di Maria Montessori all'educazione?;4. Chi progettò i banchi scolastici per le scuole dei contadini dell’Agro Romano? ;5.  Chi decorò le scuole dell’Agro Romano ?;6. Qual era la caratteristica principale della cassettiera montessoriana?;7.  Chi è l’autore dell’opera: l'albero di Pinocchio, conservato al MUSED?;8. Come si differenziava il banco della scuola urbana di Marcucci da quello rurale ?;9. Chi utilizzava principalmente i go kart all'inizio del XX secolo?
tradizionale;11/05/2025 23:39;18;M;Laurea triennale;1;2;3;2;2;1;2;9;non so;Spiegazioni vocali;4;1912;Ruggiero Bonghi;L'uso di materiali sensoriali;Giovanni Cena;Angelo Celli;Serviva esclusivamente per riporre i libri di testo;Gli studenti di una scuola elementare;Era riservato agli insegnanti per le riunioni;Solo i bambini delle famiglie benestanti
tradizionale;08/12/2024 00:39;18;M;Laurea triennale;1;6;4;6;3;1;2;4;Visite notturne simulate e accesso a documenti d'archivio;Altro;3;1884;Giovanni Cena;La costruzione di scuole in muratura;Duilio Cambellotti;Giovanni Cena;Era destinata agli oggetti personali del maestro;Gli studenti di una scuola elementare;Serviva solo per intrattenere i bambini durante le pause;I bambini delle famiglie povere perché erano facili da costruire in casa
tradizionale;04/04/2025 02:08;18;M;Laurea magistrale;1;9;3;3;2;1;4;1;Esplorazione libera in stile open world e visite guidate registrate;Esposizioni fisiche;7;1907;Giovanni Cena;La promozione del fascismo nelle scuole;Alessandro Marcucci;Angelo Celli;Serviva esclusivamente per riporre i libri di testo;Gli studenti di una scuola elementare;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;I bambini delle famiglie povere perché erano facili da costruire in casa
tradizionale;06/03/2025 13:07;19;M;Post-laurea;1;2;2;2;10;6;2;3;Interazione con strumenti antichi e esperienze tematiche;Spiegazioni vocali;2;1884;Ruggiero Bonghi;La creazione del 'Giornale per i bambini';Sibilla Aleramo;Duilio Cambellotti;Serviva esclusivamente per riporre i libri di testo;Gli studenti di una scuola elementare;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;I bambini delle scuole private
tradizionale;08/12/2024 13:26;19;M;Laurea triennale;1;2;3;2;2;1;2;6;Scenari animati e incontri con avatar storici;Esposizioni fisiche;10;1907;Giovanni Cena;La costruzione di scuole in muratura;Duilio Cambellotti;Giovanni Cena;Serviva esclusivamente per riporre i libri di testo;Gli studenti di una scuola elementare;Era utilizzato esclusivamente per le feste scolastiche;I bambini delle scuole private
tradizionale;09/05/2025 14:08;19;M;Laurea triennale;1;7;3;7;9;1;2;3;non so;Altro;2;1884;Maria Montessori;La costruzione di scuole in muratura;Sibilla Aleramo;Giovanni Cena;Serviva esclusivamente per riporre i libri di testo;Ferdinando Codognotto;Serviva solo per intrattenere i bambini durante le pause;I bambini delle scuole private
tradizionale;16/05/2025 14:09;19;M;Licenza media;1;2;3;2;2;1;2;9;Tecnologia vocale e supporto per visori diversi;Interazioni con la guida;3;1874;Ruggiero Bonghi;La costruzione di scuole in muratura;Sibilla Aleramo;Giovanni Cena;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Carlo Collodi in persona;Era utilizzato esclusivamente per le feste scolastiche;I bambini delle scuole private
tradizionale;13/05/2025 17:15;19;M;Laurea triennale;9;2;7;2;5;4;2;10;Visite notturne simulate e visite notturne simulate;Esposizioni fisiche;6;1907;Giovanni Cena;La promozione del fascismo nelle scuole;Giovanni Cena;Angelo Celli;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Carlo Collodi in persona;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Esclusivamente gli adulti per il lavoro
tradizionale;10/02/2025 17:47;19;M;Laurea triennale;1;2;3;2;2;1;2;1;Accesso a documentari e gamification educativa;Altro;1;1884;Duilio Cambellotti;La costruzione di scuole in muratura;Duilio Cambellotti;Angelo Celli;Era utilizzata solo per conservare i quaderni degli studenti;Carlo Collodi in persona;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Esclusivamente gli adulti per il lavoro
tradizionale;23/01/2025 18:35;19;M;Post-laurea;7;2;3;2;2;1;9;8;Tracce audio storiche e musica ambientale storica;Esposizioni fisiche;9;1884;Maria Montessori;La creazione del 'Giornale per i bambini';Alessandro Marcucci;Giovanni Cena;Serviva esclusivamente per riporre i libri di testo;Gli studenti di una scuola elementare;Era riservato agli insegnanti per le riunioni;Solo i bambini delle famiglie benestanti
tradizionale;19/01/2025 20:02;19;M;Laurea triennale;1;2;3;2;2;1;2;2;Chat con esperti e modalità accessibile;Spiegazioni vocali;6;1912;Giovanni Cena;La promozione del fascismo nelle scuole;Alessandro Marcucci;Duilio Cambellotti;Serviva esclusivamente per riporre i libri di testo;Carlo Collodi in persona;Era utilizzato esclusivamente per le feste scolastiche;I bambini delle scuole private
tradizionale;25/03/2025 22:23;19;M;Laurea triennale;1;2;3;2;2;1;2;3;Gamification educativa e riconoscimento facciale per emozioni;Interazioni con la guida;1;1884;Maria Montessori;La promozione del fascismo nelle scuole;Sibilla Aleramo;Duilio Cambellotti;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Un falegname della Disney;Serviva solo per intrattenere i bambini durante le pause;I bambini delle scuole private
tradizionale;02/02/2025 00:49;19;M;Laurea triennale;1;2;3;2;2;1;2;5;non so;Esposizioni fisiche;2;1912;Ruggiero Bonghi;La costruzione di scuole in muratura;Duilio Cambellotti;Angelo Celli;Serviva esclusivamente per riporre i libri di testo;Ferdinando Codognotto;Era riservato agli insegnanti per le riunioni;I bambini delle scuole private
tradizionale;09/02/2025 01:39;19;M;Laurea triennale;1;2;1;9;2;1;2;4;Chat con esperti e modalità accessibile;Spiegazioni vocali;2;1874;Ruggiero Bonghi;La creazione del 'Giornale per i bambini';Duilio Cambellotti;Sibilla Aleramo;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Gli studenti di una scuola elementare;Era riservato agli insegnanti per le riunioni;I bambini delle scuole private
tradizionale;03/12/2024 12:33;20;M;Laurea triennale;1;2;3;2;2;1;2;4;Accesso a documenti d'archivio e accesso offline;Interazioni con la guida;7;1874;Maria Montessori;La promozione del fascismo nelle scuole;Alessandro Marcucci;Angelo Celli;Era utilizzata solo per conservare i quaderni degli studenti;Carlo Collodi in persona;Serviva solo per intrattenere i bambini durante le pause;Esclusivamente gli adulti per il lavoro
tradizionale;03/03/2025 13:50;20;M;Laurea triennale;1;2;3;10;2;4;2;10;Visite notturne simulate e visite notturne simulate;Esposizioni fisiche;9;1884;Ruggiero Bonghi;L'uso di materiali sensoriali;Alessandro Marcucci;Sibilla Aleramo;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Ferdinando Codognotto;Serviva solo per intrattenere i bambini durante le pause;Solo i bambini delle famiglie benestanti
tradizionale;20/01/2025 14:29;20;M;Laurea triennale;1;6;2;2;2;7;2;2;Tecnologia vocale e supporto a haptic feedback;Altro;6;1884;Duilio Cambellotti;La costruzione di scuole in muratura;Alessandro Marcucci;Giovanni Cena;Era destinata agli oggetti personali del maestro;Ferdinando Codognotto;Era riservato agli insegnanti per le riunioni;Esclusivamente gli adulti per il lavoro
tradizionale;04/03/2025 14:43;20;M;Laurea triennale;1;2;3;2;2;1;2;9;Ricerca vocale e esperienze multisensoriali;Esposizioni fisiche;1;1884;Giovanni Cena;La creazione del 'Giornale per i bambini';Duilio Cambellotti;Sibilla Aleramo;Era utilizzata solo per conservare i quaderni degli studenti;Gli studenti di una scuola elementare;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Esclusivamente gli adulti per il lavoro
tradizionale;08/01/2025 15:06;20;M;Laurea triennale;1;2;3;2;2;1;2;2;Accesso a documentari e accesso a documenti d'archivio;Altro;9;1912;Maria Montessori;La promozione del fascismo nelle scuole;Alessandro Marcucci;Sibilla Aleramo;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Gli studenti di una scuola elementare;Era utilizzato esclusivamente per le feste scolastiche;Solo i bambini delle famiglie benestanti
tradizionale;12/04/2025 17:07;20;M;Laurea triennale;1;2;3;2;2;1;2;9;Accesso a documentari e ricostruzioni 3d dettagliate;Altro;1;1884;Ruggiero Bonghi;La costruzione di scuole in muratura;Alessandro Marcucci;Duilio Cambellotti;Era utilizzata solo per conservare i quaderni degli studenti;Un falegname della Disney;Era riservato agli insegnanti per le riunioni;Solo i bambini delle famiglie benestanti
tradizionale;06/12/2024 17:38;20;M;Laurea triennale;1;2;3;2;2;1;2;8;Contenuti storici dinamici e possibilità di fare domande;Esposizioni fisiche;6;1874;Maria Montessori;La promozione del fascismo nelle scuole;Giovanni Cena;Duilio Cambellotti;Era utilizzata solo per conservare i quaderni degli studenti;Carlo Collodi in persona;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Esclusivamente gli adulti per il lavoro
tradizionale;24/05/2025 18:45;20;M;Laurea triennale;1;2;3;2;2;1;2;8;Integrazione con la realtà fisica e domande aperte guidate;Spiegazioni vocali;9;1874;Duilio Cambellotti;La promozione del fascismo nelle scuole;Alessandro Marcucci;Sibilla Aleramo;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Un falegname della Disney;Era utilizzato esclusivamente per le feste scolastiche;I bambini delle scuole private
tradizionale;24/02/2025 19:48;20;M;Laurea triennale;1;7;3;2;2;1;2;1;Accesso offline e modalità realtà mista;Interazioni con la guida;3;1874;Giovanni Cena;La costruzione di scuole in muratura;Sibilla Aleramo;Giovanni Cena;Serviva esclusivamente per riporre i libri di testo;Un falegname della Disney;Era utilizzato esclusivamente per le feste scolastiche;Esclusivamente gli adulti per il lavoro
tradizionale;20/12/2024 20:00;20;M;Laurea triennale;1;2;3;2;2;1;2;3;non so;Altro;8;1884;Giovanni Cena;La creazione del 'Giornale per i bambini';Alessandro Marcucci;Angelo Celli;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Un falegname della Disney;Era riservato agli insegnanti per le riunioni;I bambini delle scuole private
tradizionale;28/01/2025 21:00;20;M;Laurea triennale;1;2;3;2;2;1;2;2;Conferenze virtuali e accesso offline;Esposizioni fisiche;9;1874;Giovanni Cena;La promozione del fascismo nelle scuole;Duilio Cambellotti;Giovanni Cena;Era utilizzata solo per conservare i quaderni degli studenti;Carlo Collodi in persona;Serviva solo per intrattenere i bambini durante le pause;Solo i bambini delle famiglie benestanti
tradizionale;16/03/2025 21:40;20;M;Laurea magistrale;3;7;9;2;10;1;2;7;Visione a raggi X degli oggetti e esperienza per bambini;Spiegazioni vocali;5;1874;Giovanni Cena;La creazione del 'Giornale per i bambini';Giovanni Cena;Giovanni Cena;Serviva esclusivamente per riporre i libri di testo;Carlo Collodi in persona;Era riservato agli insegnanti per le riunioni;Esclusivamente gli adulti per il lavoro
tradizionale;03/02/2025 21:55;20;M;Laurea triennale;1;2;3;2;2;1;2;2;Interazione con strumenti antichi e modalità accessibile;Esposizioni fisiche;3;1907;Duilio Cambellotti;La costruzione di scuole in muratura;Alessandro Marcucci;Angelo Celli;Serviva esclusivamente per riporre i libri di testo;Un falegname della Disney;Serviva solo per intrattenere i bambini durante le pause;Solo i bambini delle famiglie benestanti
tradizionale;23/03/2025 22:30;20;M;Laurea triennale;1;2;3;2;2;1;2;5;non so;Altro;2;1884;Duilio Cambellotti;La costruzione di scuole in muratura;Duilio Cambellotti;Duilio Cambellotti;Serviva esclusivamente per riporre i libri di testo;Ferdinando Codognotto;Era riservato agli insegnanti per le riunioni;Esclusivamente gli adulti per il lavoro
tradizionale;08/03/2025 22:57;20;M;Laurea triennale;1;2;3;2;2;1;2;5;non so;Altro;8;1874;Maria Montessori;La promozione del fascismo nelle scuole;Sibilla Aleramo;Angelo Celli;Serviva esclusivamente per riporre i libri di testo;Ferdinando Codognotto;Era utilizzato esclusivamente per le feste scolastiche;I bambini delle famiglie povere perché erano facili da costruire in casa
tradizionale;20/04/2025 23:44;20;M;Laurea triennale;1;2;3;2;2;1;2;5;Supporto per visori diversi e modalità realtà mista;Interazioni con la guida;6;1907;Duilio Cambellotti;L'uso di materiali sensoriali;Alessandro Marcucci;Duilio Cambellotti;Era destinata agli oggetti personali del maestro;Carlo Collodi in persona;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Esclusivamente gli adulti per il lavoro
tradizionale;07/04/2025 00:21;20;F;Laurea triennale;9;3;3;8;2;1;1;3;Modalità accessibile e accesso a documenti d'archivio;Altro;2;1884;Maria Montessori;L'uso di materiali sensoriali;Alessandro Marcucci;Sibilla Aleramo;Era destinata agli oggetti personali del maestro;Ferdinando Codognotto;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;I bambini delle famiglie povere perché erano facili da costruire in casa
tradizionale;31/03/2025 00:33;20;M;Laurea triennale;1;2;3;2;2;1;2;2;Ricerca vocale e scelta del livello di dettaglio;Interazioni con la guida;2;1907;Ruggiero Bonghi;La promozione del fascismo nelle scuole;Sibilla Aleramo;Duilio Cambellotti;Era destinata agli oggetti personali del maestro;Carlo Collodi in persona;Era riservato agli insegnanti per le riunioni;I bambini delle famiglie povere perché erano facili da costruire in casa
tradizionale;02/02/2025 12:44;21;M;Laurea triennale;1;5;9;2;2;2;9;6;Accesso a documentari e gamification educativa;Spiegazioni vocali;10;1907;Giovanni Cena;La promozione del fascismo nelle scuole;Giovanni Cena;Duilio Cambellotti;Serviva esclusivamente per riporre i libri di testo;Gli studenti di una scuola elementare;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Esclusivamente gli adulti per il lavoro
tradizionale;24/01/2025 13:03;21;M;Post-laurea;2;2;3;10;2;1;2;3;non so;Spiegazioni vocali;3;1884;Duilio Cambellotti;L'uso di materiali sensoriali;Alessandro Marcucci;Sibilla Aleramo;Era utilizzata solo per conservare i quaderni degli studenti;Gli studenti di una scuola elementare;Era utilizzato esclusivamente per le feste scolastiche;I bambini delle scuole private
tradizionale;31/01/2025 13:44;21;M;Laurea triennale;1;2;3;2;2;1;2;7;Integrazione con la realtà fisica e domande aperte guidate;Altro;7;1912;Giovanni Cena;La costruzione di scuole in muratura;Duilio Cambellotti;Giovanni Cena;Era utilizzata solo per conservare i quaderni degli studenti;Gli studenti di una scuola elementare;Era utilizzato esclusivamente per le feste scolastiche;I bambini delle famiglie povere perché erano facili da costruire in casa
tradizionale;18/02/2025 14:03;21;M;Diploma superiore;3;2;3;5;1;9;2;9;non so;Altro;9;1884;Maria Montessori;La promozione del fascismo nelle scuole;Sibilla Aleramo;Angelo Celli;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Gli studenti di una scuola elementare;Serviva solo per intrattenere i bambini durante le pause;I bambini delle scuole private
tradizionale;22/03/2025 14:56;21;M;Laurea triennale;1;2;3;2;2;1;2;10;Conferenze virtuali e accesso offline;Altro;9;1874;Duilio Cambellotti;La creazione del 'Giornale per i bambini';Alessandro Marcucci;Duilio Cambellotti;Era destinata agli oggetti personali del maestro;Carlo Collodi in persona;Serviva solo per intrattenere i bambini durante le pause;Solo i bambini delle famiglie benestanti
tradizionale;27/02/2025 15:33;21;M;Laurea triennale;10;2;3;10;2;8;5;2;Domande aperte guidate e quiz durante la visita;Altro;3;1874;Ruggiero Bonghi;La creazione del 'Giornale per i bambini';Sibilla Aleramo;Duilio Cambellotti;Era destinata agli oggetti personali del maestro;Gli studenti di una scuola elementare;Era riservato agli insegnanti per le riunioni;I bambini delle famiglie povere perché erano facili da costruire in casa
tradizionale;22/05/2025 15:34;21;M;Laurea triennale;1;9;1;7;2;7;3;3;Esperienza per bambini e esperienze tematiche;Esposizioni fisiche;7;1907;Ruggiero Bonghi;L'uso di materiali sensoriali;Duilio Cambellotti;Duilio Cambellotti;Serviva esclusivamente per riporre i libri di testo;Gli studenti di una scuola elementare;Era riservato agli insegnanti per le riunioni;Esclusivamente gli adulti per il lavoro
tradizionale;12/05/2025 16:04;21;M;Laurea triennale;1;2;3;2;2;1;2;4;Accesso a documentari;Esposizioni fisiche;9;1907;Giovanni Cena;L'uso di materiali sensoriali;Duilio Cambellotti;Angelo Celli;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Un falegname della Disney;Era utilizzato esclusivamente per le feste scolastiche;Esclusivamente gli adulti per il lavoro
tradizionale;19/01/2025 16:25;21;NON SPECIFICATO;Post-laurea;6;2;2;1;4;1;9;8;Contenuti storici dinamici e guide virtuali parlanti;Esposizioni fisiche;4;1874;Duilio Cambellotti;La costruzione di scuole in muratura;Giovanni Cena;Sibilla Aleramo;Serviva esclusivamente per riporre i libri di testo;Ferdinando Codognotto;Era riservato agli insegnanti per le riunioni;Solo i bambini delle famiglie benestanti
tradizionale;06/02/2025 16:29;21;M;Laurea triennale;1;9;3;2;2;1;2;7;Modalità cooperativa e integrazione con la realtà fisica;Esposizioni fisiche;6;1907;Maria Montessori;L'uso di materiali sensoriali;Sibilla Aleramo;Sibilla Aleramo;Era destinata agli oggetti personali del maestro;Gli studenti di una scuola elementare;Era riservato agli insegnanti per le riunioni;I bambini delle scuole private
tradizionale;13/02/2025 17:33;21;M;Laurea triennale;5;2;3;2;8;6;2;5;Scelta del livello di dettaglio e esperienze in prima persona;Interazioni con la guida;3;1874;Giovanni Cena;La creazione del 'Giornale per i bambini';Giovanni Cena;Sibilla Aleramo;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Un falegname della Disney;Serviva solo per intrattenere i bambini durante le pause;I bambini delle scuole private
tradizionale;02/04/2025 20:19;21;M;Post-laurea;1;1;2;2;2;8;2;10;Accesso a documentari;Interazioni con la guida;3;1874;Giovanni Cena;L'uso di materiali sensoriali;Duilio Cambellotti;Sibilla Aleramo;Era destinata agli oggetti personali del maestro;Un falegname della Disney;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;I bambini delle famiglie povere perché erano facili da costruire in casa
tradizionale;22/01/2025 20:21;21;M;Laurea triennale;1;2;3;2;2;1;2;10;Esplorazione libera in stile open world e possibilità di fare domande;Altro;2;1874;Ruggiero Bonghi;La promozione del fascismo nelle scuole;Alessandro Marcucci;Sibilla Aleramo;Era destinata agli oggetti personali del maestro;Ferdinando Codognotto;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Esclusivamente gli adulti per il lavoro
tradizionale;23/04/2025 22:26;21;M;Post-laurea;1;1;8;2;2;1;2;8;Conferenze virtuali e accesso offline;Interazioni con la guida;8;1912;Duilio Cambellotti;La costruzione di scuole in muratura;Sibilla Aleramo;Giovanni Cena;Serviva esclusivamente per riporre i libri di testo;Un falegname della Disney;Era utilizzato esclusivamente per le feste scolastiche;Esclusivamente gli adulti per il lavoro
tradizionale;27/05/2025 23:24;21;F;Laurea triennale;1;2;3;6;8;1;2;4;Tracce audio storiche e tecnologia vocale;Esposizioni fisiche;8;1912;Ruggiero Bonghi;La promozione del fascismo nelle scuole;Sibilla Aleramo;Sibilla Aleramo;Era utilizzata solo per conservare i quaderni degli studenti;Un falegname della Disney;Era riservato agli insegnanti per le riunioni;I bambini delle scuole private
tradizionale;03/05/2025 23:39;21;M;Laurea triennale;1;2;3;2;2;1;2;5;Visite notturne simulate e interazione con strumenti antichi;Altro;2;1912;Ruggiero Bonghi;L'uso di materiali sensoriali;Duilio Cambellotti;Sibilla Aleramo;Era utilizzata solo per conservare i quaderni degli studenti;Gli studenti di una scuola elementare;Era utilizzato esclusivamente per le feste scolastiche;Solo i bambini delle famiglie benestanti
