Modalità ;Informazioni cronologiche;1. Qual è la tua età?;2. Qual è il tuo genere?;3. Qual è il tuo livello di istruzione?;"4. Valuta su una scala da 1 a 10 quanto ritieni che la tua età influenzi l'interesse per esperienze di realtà virtuale, dove 1 significa ""per nulla"" e 10 ""moltissimo""";5. Su una scala da 1 a 10, quanto pensi che il tuo percorso formativo o le tue conoscenze pregresse influenzino la tua comprensione delle esperienze VR educative?;"6. Quanto frequentemente utilizzi tecnologie di realtà virtuale o esperienze immersive? Usa una scala da 1 a 10 per indicare la tua frequenza, dove 1 significa ""mai"" e 10 ""molto frequentemente"".";7. Quanto hai trovato interessante l'esperienza nel museo VR con gli avatar AI? Valuta su una scala da 1 a 10;8. Ritieni che le spiegazioni fornite dagli avatar AI siano state chiare e utili? Usa una scala da 1 a 10 per indicare il tuo grado di chiarezza percepita;9. Durante l'esperienza VR, hai percepito difficoltà nel mantenere l'attenzione? Su una scala da 1 a 10;10. Quanto ritieni che la ricostruzione virtuale degli ambienti educativi storici sia stata efficace per trasmettere informazioni educative? Usa una scala da 1 a 10 per indicare la tua percezione.;11. Qual è stato il tuo livello di coinvolgimento emotivo durante l'esperienza VR? Valuta su una scala da 1 a 10;12. Quali ulteriori funzionalità vorresti vedere in una futura versione del museo VR?;13. Quali aspetti dell'esperienza VR con gli avatar AI hai trovato più utili per l'apprendimento?;14. Quanto riterresti utile l'uso della VR con avatar AI per spiegare l'evoluzione degli strumenti educativi rispetto alla visita museale tradizionale?;1. Chi era Duilio Cambellotti, che ti ha guidato nella sala della scuola contadina dell'Agro romano?;2.  Quale ruolo aveva il teatrino nella scuola di inizio XX secolo ?;3. Giuseppe Lombardo Radice, che ti ha accompagnato nell'area della scuola popolare, è noto per:;4.  A cosa serviva il banco della scuola rurale di Marcucci ?;5. La scuola contadina dell'Agro romano, presentata da Cambellotti, aveva come obiettivo principale:;6. Cosa rappresenta la bambola di pelle scura conservata al museo ;7. Giuseppe Lombardo Radice collaborò strettamente con:;8. A cosa serve il modellino della fornace esposto al museo ;9. L'avatar di Pinocchio ha presentato la letteratura per l'infanzia come strumento per:
VR;29/09/2025 13:20;18;F;Diploma superiore;7;8;3;7;7;9;1;9;Esperienze narrative e visione a raggi x degli oggetti;Elementi interattivi;7;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;18/11/2025 15:17;18;F;Licenza media;1;2;8;7;9;10;2;10;Chat con esperti e più interazione con gli oggetti;Ricostruzione ambienti;10;Un fondatore di scuole elementari;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;L'introduzione delle tecnologie in classe;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Angelo Celli nella lotta alla malaria;A conservare oggetti antichi;Formazione morale e sociale dei bambini
VR;16/06/2025 11:57;19;F;Diploma superiore;9;6;2;8;8;8;8;9;Scenari animati e riconoscimento facciale per emozioni;Elementi interattivi;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era utilizzato esclusivamente per la scrittura con l'inchiostro;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;02/09/2025 12:22;19;M;Diploma superiore;6;8;4;8;6;4;7;9;Esperienze in prima persona e accesso offline;Elementi interattivi;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;14/11/2025 12:57;19;M;Diploma superiore;1;7;4;8;9;7;9;5;Esperienze in prima persona e accesso offline;Interazioni con gli avatar;7;Un politico dell'epoca fascista;Era utilizzato esclusivamente per le feste scolastiche;La riforma universitaria italiana;Era riservato unicamente al maestro;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Angelo Celli nella lotta alla malaria;A riscaldare realmente le aule del museo;Formazione morale e sociale dei bambini
VR;22/10/2025 13:50;19;M;Diploma superiore;9;7;4;9;8;2;2;4;Visite notturne simulate e interazione con strumenti antichi;Ricostruzione ambienti;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;06/06/2025 13:58;19;M;Diploma superiore;10;10;4;7;6;8;10;8;Chat con esperti e accesso a documentari;Interazioni con gli avatar;8;Un pedagogo montessoriano;Era uno strumento ludico per le famiglie benestanti;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;05/07/2025 14:07;19;M;Diploma superiore;9;9;4;7;6;6;8;1;Incontri con avatar storici e visione a raggi x degli oggetti;Altro;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Aver inventato il metodo Montessori;Serviva solo per gli esami finali;Creare teatri rurali;Un giocattolo moderno per promuovere l'inclusività;Duilio Cambellotti nelle decorazioni;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;03/06/2025 15:11;19;M;Diploma superiore;4;4;1;7;10;3;5;8;Esperienze narrative e visione a raggi x degli oggetti;Ricostruzione ambienti;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;01/11/2025 15:12;19;M;Diploma superiore;7;6;7;8;8;2;4;3;Interazioni con altri visitatori e modalità fotografica;Ricostruzione ambienti;8;Un illustratore e scenografo legato al mondo rurale;Serviva solo per intrattenere i bambini durante le pause;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Creare teatri rurali;Una bambola tradizionale italiana;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;05/08/2025 10:26;20;M;Diploma superiore;5;8;3;7;6;10;8;9;Visione a raggi X degli oggetti e esperienza per bambini;Elementi interattivi;9;Un illustratore e scenografo legato al mondo rurale;Serviva solo per intrattenere i bambini durante le pause;L'introduzione delle tecnologie in classe;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Promuovere l'arte nelle campagne;Un oggetto di artigianato africano importato per il commercio;Angelo Celli nella lotta alla malaria;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Semplice intrattenimento
VR;27/06/2025 10:41;20;M;Diploma superiore;9;3;10;6;7;9;7;8;Ricerca vocale e visite notturne simulate;Elementi interattivi;9;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;27/11/2025 10:50;20;F;Diploma superiore;10;9;4;7;8;9;10;3;Accesso a documentari;Interazioni con gli avatar;10;Un illustratore e scenografo legato al mondo rurale;Era utilizzato esclusivamente per le feste scolastiche;La riforma universitaria italiana;Era riservato unicamente al maestro;Alfabetizzare e educare le popolazioni rurali;Un giocattolo moderno per promuovere l'inclusività;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;28/06/2025 10:52;20;F;Diploma superiore;2;9;2;7;7;5;2;9;Gamification educativa e tecnologia vocale;Elementi interattivi;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era riservato unicamente al maestro;Alfabetizzare e educare le popolazioni rurali;Una bambola tradizionale italiana;Duilio Cambellotti nelle decorazioni;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;21/09/2025 11:14;20;F;Diploma superiore;9;9;3;8;6;8;10;1;Chat con esperti e accesso a documentari;Elementi interattivi;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;22/08/2025 11:17;20;M;Diploma superiore;10;8;4;9;6;8;9;1;Accesso a documentari;Altro;7;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Aver inventato il metodo Montessori;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Creare teatri rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Maria Montessori nel metodo educativo;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Apprendimento della grammatica
VR;26/09/2025 12:01;20;F;Diploma superiore;6;8;4;8;7;5;3;7;Tecnologia vocale e supporto a haptic feedback;Elementi interattivi;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era riservato unicamente al maestro;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Angelo Celli nella lotta alla malaria;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Semplice intrattenimento
VR;04/08/2025 12:16;20;M;Diploma superiore;7;6;3;9;8;7;6;10;Tecnologia vocale e supporto per visori diversi;Ricostruzione ambienti;8;Un illustratore e scenografo legato al mondo rurale;Serviva solo per intrattenere i bambini durante le pause;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Formare artisti e illustratori;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Angelo Celli nella lotta alla malaria;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Semplice intrattenimento
VR;23/10/2025 12:51;20;M;Diploma superiore;10;9;3;9;6;10;8;9;Traduzione simultanea e tracce audio storiche;Interazioni con gli avatar;9;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;29/07/2025 14:39;20;M;Diploma superiore;9;5;4;10;10;8;8;10;Tecnologia vocale e supporto a haptic feedback;Interazioni con gli avatar;7;Un fondatore di scuole elementari;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Una bambola tradizionale italiana;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Apprendimento della grammatica
VR;10/11/2025 15:18;20;M;Diploma superiore;10;8;2;8;8;7;7;10;Accesso a documentari e ricostruzioni 3d dettagliate;Interazioni con gli avatar;8;Un pedagogo montessoriano;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Aver inventato il metodo Montessori;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Creare teatri rurali;Una bambola tradizionale italiana;Angelo Celli nella lotta alla malaria;A conservare oggetti antichi;Formazione morale e sociale dei bambini
VR;28/11/2025 15:22;20;M;Diploma superiore;8;2;3;9;10;4;9;2;Visione storica evolutiva e accesso a documentari;Ricostruzione ambienti;7;Un fondatore di scuole elementari;Era utilizzato esclusivamente per le feste scolastiche;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Promuovere l'arte nelle campagne;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A decorare la sala espositiva;Formazione morale e sociale dei bambini
VR;22/08/2025 10:25;21;F;Diploma superiore;8;5;3;8;8;8;8;8;Riconoscimento facciale per emozioni e interazioni con altri visitatori;Ricostruzione ambienti;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A conservare oggetti antichi;Sviluppo delle abilità matematiche
VR;22/10/2025 10:30;21;M;Diploma superiore;6;9;1;6;6;9;10;9;Esperienze narrative e visione a raggi x degli oggetti;Ricostruzione ambienti;9;Un pedagogo montessoriano;Era uno strumento ludico per le famiglie benestanti;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Angelo Celli nella lotta alla malaria;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Semplice intrattenimento
VR;16/10/2025 10:54;21;M;Diploma superiore;1;7;4;8;9;9;9;9;Tecnologia vocale e contenuti adattivi all'età;Ricostruzione ambienti;9;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;02/07/2025 10:55;21;F;Diploma superiore;2;9;3;10;9;8;1;9;Visite notturne simulate e interazione con strumenti antichi;Ricostruzione ambienti;7;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;02/10/2025 11:40;21;M;Diploma superiore;10;8;3;10;7;9;2;8;Interazione con strumenti antichi e esperienze tematiche;Ricostruzione ambienti;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un oggetto di artigianato africano importato per il commercio;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Sviluppo delle abilità matematiche
VR;14/07/2025 12:30;21;F;Diploma superiore;1;8;8;9;9;7;5;8;Collezioni temporanee interattive e percorsi personalizzati;Elementi interattivi;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;16/06/2025 13:58;21;M;Diploma superiore;8;6;3;9;9;5;1;7;Integrazione con la realtà fisica e esperienze tematiche;Elementi interattivi;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;23/08/2025 14:06;21;F;Diploma superiore;8;7;2;8;8;5;4;1;Visione a raggi X degli oggetti e esperienza per bambini;Ricostruzione ambienti;7;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
